aaer_release_to_party_fkey,aaer_release_fkey,raw_name,party_type_fkey,type,auditor_fkey,auditor_name,auditor_affiliate_fkey,aud_aff_name,cik,company_name,law_firm_fkey,law_firm_name
245,2720,"Neurotrope, Inc.",3,Entity,,,,,1513856,"Neurotrope, Inc.",,
4,24,Maxim Integrated Products Inc,3,Entity,,,,,743316,MAXIM INTEGRATED PRODUCTS INC,,
6,18,Precipio Inc,3,Entity,,,,,1043961,"Precipio, Inc.",,
12,3,Finisar Corp,3,Entity,,,,,1094739,FINISAR CORP,,
13,3,Oclaro Inc,3,Entity,,,,,1110647,"OCLARO, INC.",,
14,3,Lumentum Holdings Inc,3,Entity,,,,,1633978,Lumentum Holdings Inc.,,
17,4,United Health Products Inc,3,Entity,,,,,1096938,"United Health Products, Inc.",,
20,6,"Sequential Brands Group, Inc",3,Entity,,,,,1648428,"Sequential Brands Group, Inc.",,
21,6,Longfin Corp,3,Entity,,,,,1699683,Longfin Corp,,
23,7,Synchronoss Technologies Inc,3,Entity,,,,,1131554,SYNCHRONOSS TECHNOLOGIES INC,,
27,5,"Sequential Brands Group, Inc",3,Entity,,,,,1648428,"Sequential Brands Group, Inc.",,
30,8,Synchronoss Technologies Inc,3,Entity,,,,,1131554,SYNCHRONOSS TECHNOLOGIES INC,,
32,9,Synchronoss Technologies Inc,3,Entity,,,,,1131554,SYNCHRONOSS TECHNOLOGIES INC,,
34,10,Synchronoss Technologies Inc,3,Entity,,,,,1131554,SYNCHRONOSS TECHNOLOGIES INC,,
36,11,Synchronoss Technologies Inc,3,Entity,,,,,1131554,SYNCHRONOSS TECHNOLOGIES INC,,
38,12,Synchronoss Technologies Inc,3,Entity,,,,,1131554,SYNCHRONOSS TECHNOLOGIES INC,,
41,14,Uni-pixel,3,Entity,,,,,1171012,Uni-Pixel,,
48,19,Breitling Energy Corp,3,Entity,,,,,1229089,Breitling Energy Corp,,
56,21,Osi Systems Inc,3,Entity,,,,,1039065,OSI SYSTEMS INC,,
60,2959,Homex Development Corp.,3,Entity,,,,,1293153,Homex Development Corp.,,
65,22,Osi Systems Inc,3,Entity,,,,,1039065,OSI SYSTEMS INC,,
73,27,China Valves Technology Inc,3,Entity,,,,,1080360,"CHINA VALVES TECHNOLOGY, INC",,
76,2994,Stop Sleep Go Inc.,3,Entity,,,,,1565430,Stop Sleep Go Inc.,,
77,2994,"Imk Group, Inc.",3,Entity,,,,,1321710,"IMK GROUP, INC.",,
78,2994,"Radtek, Inc",3,Entity,,,,,1487252,"RadTek, Inc",,
79,2994,"Therapeutic Solutions International, Inc.",3,Entity,,,,,1419051,"THERAPEUTIC SOLUTIONS INTERNATIONAL, INC.",,
84,2993,"Mimedx Group, Inc.",3,Entity,,,,,1376339,"MIMEDX GROUP, INC.",,
105,28,Baxter International Inc,3,Entity,,,,,10456,BAXTER INTERNATIONAL INC,,
107,29,Baxter International Inc,3,Entity,,,,,10456,BAXTER INTERNATIONAL INC,,
112,2986,Brixmor Property Group Inc.,3,Entity,,,,,1581068,Brixmor Property Group Inc.,,
114,2967,Premier Holding Corp,3,Entity,,,,,1030916,PREMIER HOLDING CORP.,,
117,2985,Brixmor Property Group Inc.,3,Entity,,,,,1581068,Brixmor Property Group Inc.,,
118,2967,CannaVEST Corp,3,Entity,,,,,1510964,"CV Sciences, Inc.",,
123,2968,Wipro Ltd [WIT],3,Entity,,,,,1123799,WIPRO LTD,,
128,2966,Chemring Group Plc,3,Entity,,,,,1472977,CHEMRING GROUP PLC,,
129,2951,Digi Outdoor Media Inc,3,Entity,,,,,1628444,Digi Outdoor Media Inc.,,
131,2966,Hi Shear Technology Corp,3,Entity,,,,,918027,HI SHEAR TECHNOLOGY CORP,,
133,2969,Dominos Pizza Inc [DPZ],3,Entity,,,,,1286681,DOMINOS PIZZA INC,,
145,2950,Monsanto Co,3,Entity,,,,,1110783,MONSANTO CO /NEW/,,
148,2964,Environmental Packaging Technologies Holdings Inc,3,Entity,,,,,1553734,"Environmental Packaging Technologies Holdings, Inc.",,
151,2949,Cintas Corp,3,Entity,,,,,723254,CINTAS CORP,,
152,3015,Aceto Corp,3,Entity,,,,,2034,ACETO CORP,,
164,33,Infinera Corp,3,Entity,,,,,1138639,Infinera Corp,,
168,2948,Cintas Corp,3,Entity,,,,,723254,CINTAS CORP,,
173,34,Logitech International,3,Entity,,,,,1032975,LOGITECH INTERNATIONAL S.A.,,
178,2947,Cintas Corp,3,Entity,,,,,723254,CINTAS CORP,,
179,2942,"Trucrowd, Inc",3,Entity,,,,,1667145,"truCrowd, Inc",,
184,2974,"Blue Earth, Inc.",3,Entity,,,,,1422109,"Blue Earth, Inc.",,
185,3010,Weatherford International Ltd,3,Entity,,,,,1170565,WEATHERFORD INTERNATIONAL LTD,,
