,code,item,freq,year_,seq,value_,date_
0,1344.0,18608.0,A,2017,1,107.0,2017-08-31
1,1344.0,18608.0,A,2018,1,112.0,2018-08-31
2,1344.0,18608.0,A,2019,1,112.0,2019-08-31
3,1344.0,18608.0,A,2020,1,119.0,2020-08-31
4,1344.0,18608.0,A,2021,1,122.0,2021-08-31
5,1344.0,18608.0,A,2022,1,125.0,2022-08-31
6,1344.0,18608.0,A,2023,1,128.0,2023-08-31
7,5423.0,18608.0,A,2021,1,111.0,2021-12-31
8,5423.0,18608.0,A,2022,1,116.0,2022-12-31
9,11537.0,18608.0,A,2022,1,124.0,2022-03-31
10,11537.0,18608.0,A,2023,1,119.13,2023-03-31
11,11756.0,18608.0,A,2022,1,133.13,2022-03-31
12,11756.0,18608.0,A,2023,1,120.01,2023-03-31
13,11996.0,18608.0,A,2017,1,118.0,2017-12-31
14,11996.0,18608.0,A,2018,1,119.0,2018-12-31
15,11996.0,18608.0,A,2019,1,125.0,2019-12-31
16,11996.0,18608.0,A,2020,1,151.63,2020-12-31
17,11996.0,18608.0,A,2021,1,152.84,2021-12-31
18,11996.0,18608.0,A,2022,1,139.6,2022-12-31
19,11734.0,18608.0,A,2022,1,144.44,2022-03-31
20,11734.0,18608.0,A,2023,1,137.32,2023-03-31
21,12703.0,18608.0,A,2021,1,134.0,2021-12-31
22,12703.0,18608.0,A,2022,1,130.0,2022-12-31
23,21437.0,18608.0,A,2017,1,118.1,2017-03-31
24,21437.0,18608.0,A,2018,1,123.9,2018-03-31
25,21437.0,18608.0,A,2019,1,128.0,2019-03-31
26,21437.0,18608.0,A,2020,1,122.0,2020-03-31
27,21437.0,18608.0,A,2021,1,112.8,2021-03-31
28,21437.0,18608.0,A,2022,1,145.0,2022-03-31
29,21437.0,18608.0,A,2023,1,116.4,2023-03-31
30,21445.0,18608.0,A,2018,1,112.0,2018-06-30
31,21445.0,18608.0,A,2019,1,118.0,2019-06-30
32,21445.0,18608.0,A,2020,1,117.0,2020-06-30
33,21445.0,18608.0,A,2021,1,123.0,2021-06-30
34,21445.0,18608.0,A,2022,1,123.0,2022-06-30
35,23472.0,18608.0,A,2022,1,158.4,2022-12-31
36,25313.0,18608.0,A,2021,1,136.0,2021-12-31
37,25313.0,18608.0,A,2022,1,135.0,2022-12-31
38,35128.0,18608.0,A,2022,1,136.3,2022-12-31
39,38175.0,18608.0,A,2017,1,108.0,2017-09-30
40,38175.0,18608.0,A,2018,1,113.0,2018-09-30
41,38175.0,18608.0,A,2019,1,113.0,2019-09-30
42,38175.0,18608.0,A,2020,1,127.0,2020-09-30
43,38175.0,18608.0,A,2021,1,123.0,2021-09-30
44,38175.0,18608.0,A,2022,1,119.0,2022-09-30
45,38175.0,18608.0,A,2023,1,116.0,2023-09-30
46,45539.0,18608.0,A,2018,1,170.0,2018-12-31
47,45539.0,18608.0,A,2019,1,195.0,2019-12-31
48,45539.0,18608.0,A,2020,1,210.18,2020-12-31
49,45539.0,18608.0,A,2021,1,209.53,2021-12-31
50,45539.0,18608.0,A,2022,1,307.6,2022-12-31
51,47471.0,18608.0,A,2015,1,138.0,2015-02-28
52,47471.0,18608.0,A,2016,1,145.0,2016-02-29
53,47471.0,18608.0,A,2017,1,187.0,2017-02-28
54,47471.0,18608.0,A,2018,1,206.0,2018-02-28
55,47471.0,18608.0,A,2019,1,196.0,2019-02-28
56,47471.0,18608.0,A,2020,1,197.0,2020-02-29
57,47471.0,18608.0,A,2021,1,221.0,2021-02-28
58,47471.0,18608.0,A,2022,1,225.0,2022-02-28
59,47471.0,18608.0,A,2023,1,215.0,2023-02-28
60,50520.0,18608.0,A,2017,1,136.47,2017-12-31
61,50520.0,18608.0,A,2018,1,124.1,2018-12-31
62,50520.0,18608.0,A,2019,1,108.52,2019-12-31
63,50520.0,18608.0,A,2020,1,145.97,2020-12-31
64,50594.0,18608.0,A,2022,1,157.77,2022-03-31
65,52338.0,18608.0,A,2017,1,123.93,2017-12-31
66,52338.0,18608.0,A,2018,1,117.11,2018-12-31
67,52338.0,18608.0,A,2019,1,116.6,2019-12-31
68,52338.0,18608.0,A,2020,1,126.1,2020-12-31
69,52338.0,18608.0,A,2021,1,126.2,2021-12-31
70,52338.0,18608.0,A,2022,1,119.93,2022-12-31
71,65077.0,18608.0,A,2022,1,122.71,2022-03-31
72,65077.0,18608.0,A,2023,1,125.15,2023-03-31
73,68277.0,18608.0,A,2021,1,127.3,2021-12-31
74,68277.0,18608.0,A,2022,1,126.0,2022-12-31
75,68972.0,18608.0,A,2022,1,113.0,2022-12-31
76,69520.0,18608.0,A,2023,1,161.5,2023-03-31
77,70752.0,18608.0,A,2020,1,97.0,2020-12-31
78,70752.0,18608.0,A,2021,1,101.0,2021-12-31
79,70752.0,18608.0,A,2022,1,111.0,2022-12-31
80,101268.0,18608.0,A,2015,1,76.14,2015-12-31
81,101268.0,18608.0,A,2016,1,80.8,2016-12-31
82,101268.0,18608.0,A,2017,1,196.01,2017-12-31
83,101268.0,18608.0,A,2018,1,88.31,2018-12-31
84,101268.0,18608.0,A,2019,1,108.5,2019-12-31
85,101268.0,18608.0,A,2020,1,103.65,2020-12-31
86,101268.0,18608.0,A,2021,1,105.28,2021-12-31
87,101268.0,18608.0,A,2022,1,107.81,2022-12-31
88,102680.0,18608.0,A,2020,1,127.6,2020-12-31
89,102680.0,18608.0,A,2021,1,134.0,2021-12-31
90,102680.0,18608.0,A,2022,1,139.4,2022-12-31
91,102482.0,18608.0,A,2018,1,135.0,2018-12-31
92,102482.0,18608.0,A,2019,1,144.0,2019-12-31
93,102482.0,18608.0,A,2020,1,147.0,2020-12-31
94,102482.0,18608.0,A,2021,1,153.0,2021-12-31
95,102482.0,18608.0,A,2022,1,167.0,2022-12-31
