,code,item,freq,year_,seq,value_,date_
0,486.0,15025.0,A,1997,1,20.94833,
1,486.0,15025.0,A,1998,1,40.72998,
2,486.0,15025.0,A,1999,1,35.30417,
3,486.0,15025.0,A,2000,1,27.90065,
4,486.0,15025.0,A,2001,1,29.47636,
5,486.0,15025.0,A,2002,1,141.58785,
6,486.0,15025.0,A,2003,1,70.06714,
7,486.0,15025.0,A,2004,1,57.47463,
8,486.0,15025.0,A,2005,1,17.1566,
9,486.0,15025.0,A,2006,1,13.80439,
10,486.0,15025.0,A,2007,1,15.4375,
11,486.0,15025.0,A,2008,1,15.87536,
12,486.0,15025.0,A,2009,1,17.67973,
13,486.0,15025.0,A,2010,1,16.10275,
14,486.0,15025.0,A,2011,1,16.57998,
15,486.0,15025.0,A,2012,1,17.32242,
16,486.0,15025.0,A,2013,1,18.38779,
17,486.0,15025.0,A,2014,1,20.0487,
18,486.0,15025.0,A,2015,1,17.7685,
19,486.0,15025.0,A,2016,1,15.41592,
20,486.0,15025.0,A,2017,1,15.71588,
21,486.0,15025.0,A,2018,1,27.14967,
22,486.0,15025.0,A,2019,1,24.60698,
23,486.0,15025.0,A,2020,1,25.45083,
24,486.0,15025.0,A,2021,1,29.02099,
25,486.0,15025.0,A,2022,1,28.69814,
26,488.0,15025.0,A,2000,1,42.21586,
27,488.0,15025.0,A,2001,1,81.69077,
28,488.0,15025.0,A,2002,1,341.09517,
29,488.0,15025.0,A,2003,1,225.08483,
30,488.0,15025.0,A,2004,1,219.72633,
31,488.0,15025.0,A,2005,1,179.53693,
32,488.0,15025.0,A,2006,1,90.86836,
33,488.0,15025.0,A,2007,1,44.4133,
34,488.0,15025.0,A,2008,1,43.78054,
35,488.0,15025.0,A,2009,1,34.13417,
36,488.0,15025.0,A,2010,1,27.6536,
37,488.0,15025.0,A,2011,1,34.80965,
38,488.0,15025.0,A,2012,1,31.52381,
39,488.0,15025.0,A,2013,1,33.62647,
40,488.0,15025.0,A,2014,1,35.54186,
41,488.0,15025.0,A,2015,1,31.06889,
42,488.0,15025.0,A,2016,1,29.66436,
43,488.0,15025.0,A,2017,1,34.4497,
44,488.0,15025.0,A,2018,1,32.22067,
45,488.0,15025.0,A,2019,1,41.9058,
46,488.0,15025.0,A,2020,1,46.22088,
47,488.0,15025.0,A,2021,1,50.10104,
48,488.0,15025.0,A,2022,1,47.12571,
49,495.0,15025.0,A,1996,1,62.61022,
50,495.0,15025.0,A,1997,1,45.40608,
51,495.0,15025.0,A,1998,1,23.85243,
52,495.0,15025.0,A,1999,1,31.05558,
53,495.0,15025.0,A,2000,1,22.52678,
54,495.0,15025.0,A,2001,1,25.71481,
55,514.0,15025.0,A,1999,1,22.40513,
56,514.0,15025.0,A,2000,1,28.99339,
57,514.0,15025.0,A,2001,1,34.44418,
58,514.0,15025.0,A,2002,1,63.36338,
59,506.0,15025.0,A,1999,1,1243.14139,
60,506.0,15025.0,A,2000,1,797.70139,
61,506.0,15025.0,A,2001,1,2054.01776,
62,506.0,15025.0,A,2002,1,6398.82163,
63,506.0,15025.0,A,2003,1,5431.53606,
64,506.0,15025.0,A,2004,1,3625.2968,
65,506.0,15025.0,A,2005,1,1381.14549,
66,506.0,15025.0,A,2006,1,969.79363,
67,506.0,15025.0,A,2007,1,493.56655,
68,506.0,15025.0,A,2008,1,229.79771,
