,code,item,freq,year_,seq,value_,date_
0,486.0,15013.0,A,1997,1,67.95585,
1,486.0,15013.0,A,1998,1,96.29305,
2,486.0,15013.0,A,1999,1,90.75838,
3,486.0,15013.0,A,2000,1,79.13482,
4,486.0,15013.0,A,2001,1,30.57181,
5,486.0,15013.0,A,2002,1,85.50226,
6,486.0,15013.0,A,2003,1,80.96368,
7,486.0,15013.0,A,2004,1,67.96904,
8,486.0,15013.0,A,2005,1,41.46171,
9,486.0,15013.0,A,2006,1,41.57258,
10,486.0,15013.0,A,2007,1,36.2137,
11,486.0,15013.0,A,2008,1,38.58333,
12,486.0,15013.0,A,2009,1,53.79039,
13,486.0,15013.0,A,2010,1,43.88111,
14,486.0,15013.0,A,2011,1,38.60257,
15,486.0,15013.0,A,2012,1,36.25183,
16,486.0,15013.0,A,2013,1,35.51107,
17,486.0,15013.0,A,2014,1,43.95472,
18,486.0,15013.0,A,2015,1,48.82915,
19,486.0,15013.0,A,2016,1,45.88486,
20,486.0,15013.0,A,2017,1,49.89351,
21,486.0,15013.0,A,2018,1,65.23843,
22,486.0,15013.0,A,2019,1,47.19134,
23,486.0,15013.0,A,2020,1,55.30067,
24,486.0,15013.0,A,2021,1,41.9074,
25,486.0,15013.0,A,2022,1,74.28868,
26,488.0,15013.0,A,2001,1,12.99196,
27,488.0,15013.0,A,2002,1,53.64797,
28,488.0,15013.0,A,2003,1,58.17206,
29,488.0,15013.0,A,2004,1,101.47309,
30,488.0,15013.0,A,2005,1,86.53439,
31,488.0,15013.0,A,2006,1,50.8703,
32,488.0,15013.0,A,2007,1,35.34997,
33,488.0,15013.0,A,2008,1,35.12348,
34,488.0,15013.0,A,2009,1,43.467,
35,488.0,15013.0,A,2010,1,34.66315,
36,488.0,15013.0,A,2011,1,38.26771,
37,488.0,15013.0,A,2012,1,29.57894,
38,488.0,15013.0,A,2013,1,33.92936,
39,488.0,15013.0,A,2014,1,43.82378,
40,488.0,15013.0,A,2015,1,49.17506,
41,488.0,15013.0,A,2016,1,54.92887,
42,488.0,15013.0,A,2017,1,58.0306,
43,488.0,15013.0,A,2018,1,68.3196,
44,488.0,15013.0,A,2019,1,65.07261,
45,488.0,15013.0,A,2020,1,63.50745,
46,488.0,15013.0,A,2021,1,77.29771,
47,488.0,15013.0,A,2022,1,86.3519,
48,495.0,15013.0,A,1998,1,34.50571,
49,495.0,15013.0,A,1999,1,35.3509,
