,code,item,freq,year_,seq,value_,date_
0,486.0,2004.0,A,1997,1,875916000.0,1997-06-30
1,486.0,2004.0,A,1998,1,616514000.0,1998-12-31
2,486.0,2004.0,A,1999,1,1048354000.0,1999-12-31
3,486.0,2004.0,A,2000,1,1091557000.0,2000-12-31
4,486.0,2004.0,A,2001,1,1294461000.0,2001-12-31
5,486.0,2004.0,A,2002,1,1134795000.0,2002-12-31
6,486.0,2004.0,A,2003,1,1140943000.0,2003-12-31
7,486.0,2004.0,A,2004,1,1210717000.0,2004-12-31
8,486.0,2004.0,A,2005,1,1506986000.0,2005-12-31
9,486.0,2004.0,A,2006,1,2817738000.0,2006-12-31
10,486.0,2004.0,A,2007,1,4246479000.0,2007-12-31
11,486.0,2004.0,A,2008,1,3765843000.0,2008-12-31
12,486.0,2004.0,A,2009,1,4641164000.0,2009-12-31
13,486.0,2004.0,A,2010,1,6201070000.0,2010-12-31
14,486.0,2004.0,A,2011,1,6815715000.0,2011-12-31
15,486.0,2004.0,A,2012,1,10571385000.0,2012-12-31
16,486.0,2004.0,A,2013,1,14851059000.0,2013-12-31
17,486.0,2004.0,A,2014,1,17710486000.0,2014-12-31
18,486.0,2004.0,A,2015,1,34463464000.0,2015-12-31
19,486.0,2004.0,A,2016,1,67195694000.0,2016-12-31
20,486.0,2004.0,A,2017,1,83907308000.0,2017-12-31
21,486.0,2004.0,A,2018,1,212712680000.0,2018-12-31
22,486.0,2004.0,A,2019,1,193296151000.0,2019-12-31
23,486.0,2004.0,A,2020,1,212368176000.0,2020-12-31
24,486.0,2004.0,A,2021,1,286681174000.0,2021-12-31
25,486.0,2004.0,A,2022,1,482054837000.0,2022-12-31
26,488.0,2004.0,A,2000,1,620070000.0,2000-12-31
27,488.0,2004.0,A,2001,1,517301000.0,2001-12-31
28,488.0,2004.0,A,2002,1,541384000.0,2002-12-31
29,488.0,2004.0,A,2003,1,826150000.0,2003-12-31
30,488.0,2004.0,A,2004,1,988669000.0,2004-12-31
31,488.0,2004.0,A,2005,1,1041158000.0,2005-12-31
32,488.0,2004.0,A,2006,1,2294849000.0,2006-12-31
33,488.0,2004.0,A,2007,1,2960013000.0,2007-12-31
34,488.0,2004.0,A,2008,1,3405133000.0,2008-12-31
35,488.0,2004.0,A,2009,1,3446680000.0,2009-12-31
36,488.0,2004.0,A,2010,1,5421655000.0,2010-12-31
37,488.0,2004.0,A,2011,1,6289591000.0,2011-12-31
38,488.0,2004.0,A,2012,1,8174571000.0,2012-12-31
39,488.0,2004.0,A,2013,1,12404158000.0,2013-12-31
40,488.0,2004.0,A,2014,1,16835815000.0,2014-12-31
41,488.0,2004.0,A,2015,1,30395030000.0,2015-12-31
42,488.0,2004.0,A,2016,1,58847031000.0,2016-12-31
43,488.0,2004.0,A,2017,1,55930099000.0,2017-12-31
44,488.0,2004.0,A,2018,1,140380601000.0,2018-12-31
45,488.0,2004.0,A,2019,1,128270704000.0,2019-12-31
46,488.0,2004.0,A,2020,1,169530474000.0,2020-12-31
47,488.0,2004.0,A,2021,1,227971440000.0,2021-12-31
48,488.0,2004.0,A,2022,1,418490977000.0,2022-12-31
49,495.0,2004.0,A,1998,1,269850000.0,1998-06-30
50,495.0,2004.0,A,1999,1,102573000.0,1999-06-30
51,495.0,2004.0,A,2000,1,1001006000.0,2000-06-30
52,495.0,2004.0,A,2001,1,104856000.0,2001-12-31
53,495.0,2004.0,A,2011,1,8455000.0,2011-12-31
54,495.0,2004.0,A,2012,1,3868131.0,2012-12-31
55,506.0,2004.0,A,1999,1,108679000.0,1999-12-31
56,506.0,2004.0,A,2000,1,91556000.0,2000-12-31
57,506.0,2004.0,A,2001,1,58819000.0,2001-12-31
58,506.0,2004.0,A,2002,1,121952000.0,2002-12-31
59,506.0,2004.0,A,2003,1,414275000.0,2003-12-31
60,506.0,2004.0,A,2004,1,341762000.0,2004-12-31
61,506.0,2004.0,A,2005,1,294813000.0,2005-12-31
62,506.0,2004.0,A,2006,1,391144000.0,2006-12-31
63,506.0,2004.0,A,2007,1,671216000.0,2007-12-31
64,506.0,2004.0,A,2008,1,411344000.0,2008-12-31
65,506.0,2004.0,A,2009,1,539231000.0,2009-12-31
66,506.0,2004.0,A,2010,1,602435000.0,2010-12-31
67,506.0,2004.0,A,2011,1,548886000.0,2011-12-31
68,506.0,2004.0,A,2012,1,1198499000.0,2012-12-31
69,506.0,2004.0,A,2013,1,2542252000.0,2013-12-31
70,506.0,2004.0,A,2014,1,5309356000.0,2014-12-31
71,506.0,2004.0,A,2015,1,6706165000.0,2015-12-31
72,506.0,2004.0,A,2016,1,6819287000.0,2016-12-31
73,506.0,2004.0,A,2017,1,3967432000.0,2017-12-31
74,506.0,2004.0,A,2018,1,8832786000.0,2018-12-31
75,506.0,2004.0,A,2019,1,18474655000.0,2019-12-31
76,506.0,2004.0,A,2020,1,13422790000.0,2020-12-31
77,506.0,2004.0,A,2021,1,18111369000.0,2021-12-31
78,506.0,2004.0,A,2022,1,27696959000.0,2022-12-31
79,514.0,2004.0,A,1999,1,64427000.0,1999-12-31
80,514.0,2004.0,A,2000,1,49733000.0,2000-12-31
81,514.0,2004.0,A,2001,1,28453000.0,2001-12-31
82,514.0,2004.0,A,2002,1,105551000.0,2002-12-31
83,1343.0,2004.0,A,1989,1,8985000.0,1989-05-28
84,1343.0,2004.0,A,1990,1,172881000.0,1990-06-30
85,1343.0,2004.0,A,1991,1,358738000.0,1991-06-30
86,1343.0,2004.0,A,1992,1,288847000.0,1992-06-30
87,1343.0,2004.0,A,1993,1,196726000.0,1993-06-30
88,1343.0,2004.0,A,1994,1,124926000.0,1994-06-30
89,1343.0,2004.0,A,1995,1,146270000.0,1995-06-30
90,1343.0,2004.0,A,1996,1,294660000.0,1996-06-30
91,1395.0,2004.0,A,1989,1,77247000.0,1992-06-30
92,1395.0,2004.0,A,1990,1,130345000.0,1992-06-30
93,1395.0,2004.0,A,1991,1,198296000.0,1991-06-30
94,1395.0,2004.0,A,1992,1,209048000.0,1992-06-30
95,1395.0,2004.0,A,1993,1,481264000.0,1993-06-30
96,1395.0,2004.0,A,1994,1,116119000.0,1994-06-30
97,1395.0,2004.0,A,1995,1,87938000.0,1995-06-30
98,1395.0,2004.0,A,1996,1,93558000.0,1996-06-30
99,1395.0,2004.0,A,1997,1,836000000.0,1997-06-30
100,1395.0,2004.0,A,1998,1,587000000.0,1998-06-30
101,1395.0,2004.0,A,1999,1,356000000.0,1999-06-30
102,1395.0,2004.0,A,2000,1,498000000.0,2000-06-30
103,1395.0,2004.0,A,2001,1,288000000.0,2001-06-30
104,1395.0,2004.0,A,2002,1,165000000.0,2002-06-30
105,1395.0,2004.0,A,2003,1,315000000.0,2003-06-30
106,1395.0,2004.0,A,2004,1,378000000.0,2004-06-30
107,1395.0,2004.0,A,2005,1,237000000.0,2005-06-30
108,1395.0,2004.0,A,2006,1,238000000.0,2006-06-30
109,1395.0,2004.0,A,2007,1,468000000.0,2007-06-30
110,1395.0,2004.0,A,2008,1,663000000.0,2008-06-30
111,1395.0,2004.0,A,2009,1,353000000.0,2009-06-30
112,1395.0,2004.0,A,2010,1,768000000.0,2010-06-30
113,1920.0,2004.0,A,1990,1,6186868070.88872,1990-12-31
114,1920.0,2004.0,A,1991,1,843302326.25742,1991-12-31
