,code,item,freq,year_,seq,value_,date_
0,486.0,18157.0,A,2013,1,15.0,2013-12-31
1,486.0,18157.0,A,2014,1,14.0,2014-12-31
2,486.0,18157.0,A,2015,1,12.0,2015-12-31
3,486.0,18157.0,A,2016,1,11.0,2016-12-31
4,486.0,18157.0,A,2017,1,8.0,2017-12-31
5,486.0,18157.0,A,2018,1,9.0,2018-12-31
6,1395.0,18157.0,A,2004,1,9.98,2004-06-30
7,1395.0,18157.0,A,2005,1,11.34,2005-06-30
8,1395.0,18157.0,A,2006,1,10.18,2006-06-30
9,1395.0,18157.0,A,2007,1,11.9,2007-06-30
10,1395.0,18157.0,A,2008,1,8.04,2008-06-30
11,1395.0,18157.0,A,2009,1,11.31,2009-06-30
12,1395.0,18157.0,A,2010,1,13.23,2010-06-30
13,1844.0,18157.0,A,2002,1,9.47,2002-12-31
14,1844.0,18157.0,A,2003,1,8.91,2003-12-31
15,1844.0,18157.0,A,2004,1,10.57,2004-12-31
16,1844.0,18157.0,A,2005,1,7.5,2005-12-31
17,1844.0,18157.0,A,2006,1,7.86,2006-12-31
18,1844.0,18157.0,A,2007,1,7.19,2007-12-31
19,1844.0,18157.0,A,2008,1,7.56,2008-12-31
20,1844.0,18157.0,A,2009,1,9.96,2009-12-31
21,1844.0,18157.0,A,2010,1,10.26,2010-12-31
22,1844.0,18157.0,A,2011,1,10.05,2011-12-31
23,1844.0,18157.0,A,2012,1,12.71,2012-12-31
24,1844.0,18157.0,A,2013,1,14.08,2013-12-31
25,2472.0,18157.0,A,2000,1,9.3,2000-12-31
26,2472.0,18157.0,A,2001,1,9.3,2001-12-31
27,2472.0,18157.0,A,2002,1,9.3,2002-12-31
28,2472.0,18157.0,A,2003,1,9.9,2003-12-31
29,2472.0,18157.0,A,2004,1,10.7,2004-12-31
30,2472.0,18157.0,A,2005,1,10.3,2005-12-31
31,2472.0,18157.0,A,2006,1,9.8,2006-12-31
32,2472.0,18157.0,A,2007,1,9.1,2007-12-31
33,2472.0,18157.0,A,2008,1,10.6,2008-12-31
34,2472.0,18157.0,A,2009,1,12.3,2009-12-31
35,2472.0,18157.0,A,2010,1,13.1,2010-12-31
36,2472.0,18157.0,A,2011,1,7.6,2011-12-31
37,2472.0,18157.0,A,2012,1,19.9,2012-12-31
38,2472.0,18157.0,A,2013,1,21.4,2013-12-31
39,2472.0,18157.0,A,2014,1,16.54271,2014-12-31
40,2472.0,18157.0,A,2015,1,16.04038,2015-12-31
41,2472.0,18157.0,A,2016,1,16.29,2016-12-31
42,2472.0,18157.0,A,2017,1,19.62,2017-12-31
43,2472.0,18157.0,A,2018,1,26.86,2018-12-31
44,1811.0,18157.0,A,2002,1,6.33,2002-12-31
45,1811.0,18157.0,A,2003,1,6.56,2003-12-31
46,1811.0,18157.0,A,2004,1,6.82,2004-12-31
47,1811.0,18157.0,A,2005,1,6.81,2005-12-31
48,1811.0,18157.0,A,2006,1,7.08,2006-12-31
49,1811.0,18157.0,A,2007,1,7.15,2007-12-31
50,1811.0,18157.0,A,2008,1,8.27,2008-12-31
