,code,item,freq,year_,seq,value_,date_
0,486.0,3019.0,A,1997,1,4441247000.0,
1,486.0,3019.0,A,1998,1,5323359000.0,
2,486.0,3019.0,A,1999,1,6260318000.0,
3,486.0,3019.0,A,2000,1,7011316000.0,
4,486.0,3019.0,A,2001,1,6365040000.0,
5,486.0,3019.0,A,2002,1,5928143000.0,
6,486.0,3019.0,A,2003,1,6649588000.0,
7,486.0,3019.0,A,2004,1,7328884000.0,
8,486.0,3019.0,A,2005,1,9497975000.0,
9,486.0,3019.0,A,2006,1,12559504000.0,
10,486.0,3019.0,A,2007,1,15108891000.0,
11,486.0,3019.0,A,2008,1,16938638000.0,
12,486.0,3019.0,A,2009,1,19376803000.0,
13,486.0,3019.0,A,2010,1,26209605000.0,
14,486.0,3019.0,A,2011,1,33120519000.0,
15,486.0,3019.0,A,2012,1,40699590000.0,
16,486.0,3019.0,A,2013,1,52930234000.0,
17,486.0,3019.0,A,2014,1,69212007000.0,
18,486.0,3019.0,A,2015,1,109614908000.0,
19,486.0,3019.0,A,2016,1,160901773000.0,
20,486.0,3019.0,A,2017,1,232711642000.0,
21,486.0,3019.0,A,2018,1,381154924000.0,
22,486.0,3019.0,A,2019,1,473219225000.0,
23,486.0,3019.0,A,2020,1,742240321000.0,
24,486.0,3019.0,A,2021,1,1065374712000.0,
25,486.0,3019.0,A,2022,1,2001277721000.0,
26,488.0,3019.0,A,2000,1,8817514000.0,
27,488.0,3019.0,A,2001,1,6127996000.0,
28,488.0,3019.0,A,2002,1,4691997000.0,
29,488.0,3019.0,A,2003,1,6583991000.0,
30,488.0,3019.0,A,2004,1,6527559000.0,
31,488.0,3019.0,A,2005,1,8325118000.0,
32,488.0,3019.0,A,2006,1,10779369000.0,
33,488.0,3019.0,A,2007,1,13165621000.0,
34,488.0,3019.0,A,2008,1,14056134000.0,
35,488.0,3019.0,A,2009,1,17039366000.0,
36,488.0,3019.0,A,2010,1,22212830000.0,
37,488.0,3019.0,A,2011,1,30105470000.0,
38,488.0,3019.0,A,2012,1,39909382000.0,
39,488.0,3019.0,A,2013,1,50947226000.0,
40,488.0,3019.0,A,2014,1,64083706000.0,
41,488.0,3019.0,A,2015,1,99095503000.0,
42,488.0,3019.0,A,2016,1,150712699000.0,
43,488.0,3019.0,A,2017,1,201890564000.0,
44,488.0,3019.0,A,2018,1,359385538000.0,
45,488.0,3019.0,A,2019,1,393454576000.0,
46,488.0,3019.0,A,2020,1,674448608000.0,
47,488.0,3019.0,A,2021,1,1032591021000.0,
48,488.0,3019.0,A,2022,1,2141275961000.0,
49,495.0,3019.0,A,1996,1,613911000.0,
50,495.0,3019.0,A,1997,1,848915000.0,
51,495.0,3019.0,A,1998,1,1221163000.0,
52,495.0,3019.0,A,1999,1,1237069000.0,
53,495.0,3019.0,A,2000,1,1411649000.0,
54,495.0,3019.0,A,2001,1,1262891000.0,
55,495.0,3019.0,A,2002,1,0.0,
56,495.0,3019.0,A,2011,1,0.0,
57,495.0,3019.0,A,2012,1,0.0,
58,506.0,3019.0,A,1999,1,279539000.0,
59,506.0,3019.0,A,2000,1,411771000.0,
60,506.0,3019.0,A,2001,1,160699000.0,
61,506.0,3019.0,A,2002,1,113547000.0,
62,506.0,3019.0,A,2003,1,128843000.0,
63,506.0,3019.0,A,2004,1,206034000.0,
64,506.0,3019.0,A,2005,1,527688000.0,
65,506.0,3019.0,A,2006,1,639855000.0,
66,506.0,3019.0,A,2007,1,1334836000.0,
67,506.0,3019.0,A,2008,1,2604093000.0,
68,506.0,3019.0,A,2009,1,3699627000.0,
69,506.0,3019.0,A,2010,1,4825823000.0,
70,506.0,3019.0,A,2011,1,5440223000.0,
71,506.0,3019.0,A,2012,1,8002566000.0,
72,506.0,3019.0,A,2013,1,10809358000.0,
73,506.0,3019.0,A,2014,1,18194324000.0,
74,506.0,3019.0,A,2015,1,20293181000.0,
75,506.0,3019.0,A,2016,1,18829988000.0,
76,506.0,3019.0,A,2017,1,20600207000.0,
77,506.0,3019.0,A,2018,1,29306072000.0,
78,506.0,3019.0,A,2019,1,35721483000.0,
79,506.0,3019.0,A,2020,1,88830316000.0,
80,506.0,3019.0,A,2021,1,289291033000.0,
81,506.0,3019.0,A,2022,1,295761471000.0,
82,514.0,3019.0,A,1999,1,553659000.0,
83,514.0,3019.0,A,2000,1,589017000.0,
84,514.0,3019.0,A,2001,1,425802000.0,
85,514.0,3019.0,A,2002,1,1747795000.0,
86,1397.0,3019.0,A,1988,1,28691730.0,
87,1397.0,3019.0,A,1989,1,35009778.0,
88,1397.0,3019.0,A,1990,1,40250954.0,
89,1397.0,3019.0,A,1991,1,31876598.0,
90,1397.0,3019.0,A,1992,1,32857895.0,
91,1397.0,3019.0,A,1993,1,33821964.0,
92,1397.0,3019.0,A,1994,1,18304776.0,
93,1397.0,3019.0,A,1995,1,16275496.0,
94,1397.0,3019.0,A,1996,1,19447000.0,
95,1397.0,3019.0,A,1997,1,23209000.0,
96,1397.0,3019.0,A,1998,1,28464000.0,
97,1397.0,3019.0,A,1999,1,31908000.0,
98,1397.0,3019.0,A,2000,1,36068000.0,
99,1410.0,3019.0,A,1994,1,0.0,
100,1410.0,3019.0,A,1995,1,0.0,
101,1415.0,3019.0,A,1998,1,0.0,
102,1415.0,3019.0,A,1999,1,0.0,
103,1415.0,3019.0,A,2000,1,0.0,
104,1342.0,3019.0,A,1991,1,1580844.0,
105,1342.0,3019.0,A,1992,1,1718575.0,
106,1342.0,3019.0,A,1993,1,1441179.0,
107,1342.0,3019.0,A,1994,1,1018373.0,
108,1342.0,3019.0,A,1995,1,8600.0,
109,1342.0,3019.0,A,1996,1,0.0,
110,1423.0,3019.0,A,1989,1,0.0,
111,1423.0,3019.0,A,1990,1,0.0,
112,1423.0,3019.0,A,1991,1,0.0,
113,1423.0,3019.0,A,1992,1,0.0,
114,1423.0,3019.0,A,1993,1,0.0,
115,1423.0,3019.0,A,1994,1,0.0,
