,code,item,freq,year_,seq,value_,date_
0,486.0,15173.0,A,1997,1,138.745,
1,486.0,15173.0,A,1998,1,140.66706,
2,486.0,15173.0,A,1999,1,126.07651,
3,486.0,15173.0,A,2000,1,120.02622,
4,486.0,15173.0,A,2001,1,88.71078,
5,486.0,15173.0,A,2002,1,72.4367,
6,486.0,15173.0,A,2003,1,77.72104,
7,486.0,15173.0,A,2004,1,79.83591,
8,486.0,15173.0,A,2005,1,83.26372,
9,486.0,15173.0,A,2006,1,79.62631,
10,486.0,15173.0,A,2007,1,76.22302,
11,486.0,15173.0,A,2008,1,86.81695,
12,486.0,15173.0,A,2009,1,86.15321,
13,486.0,15173.0,A,2010,1,82.41245,
14,486.0,15173.0,A,2011,1,84.00707,
15,486.0,15173.0,A,2012,1,79.50367,
16,486.0,15173.0,A,2013,1,77.51837,
17,486.0,15173.0,A,2014,1,80.75094,
18,486.0,15173.0,A,2015,1,78.52649,
19,486.0,15173.0,A,2016,1,65.28667,
20,486.0,15173.0,A,2017,1,73.13237,
21,486.0,15173.0,A,2018,1,50.8602,
22,486.0,15173.0,A,2019,1,52.13483,
23,486.0,15173.0,A,2020,1,62.89519,
24,486.0,15173.0,A,2021,1,52.5515,
25,486.0,15173.0,A,2022,1,74.02895,
26,488.0,15173.0,A,2001,1,80.73071,
27,488.0,15173.0,A,2002,1,55.72439,
28,488.0,15173.0,A,2003,1,65.35199,
29,488.0,15173.0,A,2004,1,67.8077,
30,488.0,15173.0,A,2005,1,72.30615,
31,488.0,15173.0,A,2006,1,66.60314,
32,488.0,15173.0,A,2007,1,69.92649,
33,488.0,15173.0,A,2008,1,65.841,
34,488.0,15173.0,A,2009,1,77.38734,
35,488.0,15173.0,A,2010,1,84.13087,
36,488.0,15173.0,A,2011,1,89.35528,
37,488.0,15173.0,A,2012,1,88.38507,
38,488.0,15173.0,A,2013,1,90.47544,
39,488.0,15173.0,A,2014,1,91.37841,
40,488.0,15173.0,A,2015,1,91.12249,
41,488.0,15173.0,A,2016,1,84.53605,
42,488.0,15173.0,A,2017,1,96.42833,
43,488.0,15173.0,A,2018,1,83.13267,
44,488.0,15173.0,A,2019,1,88.32947,
45,488.0,15173.0,A,2020,1,80.74241,
46,488.0,15173.0,A,2021,1,85.85555,
47,488.0,15173.0,A,2022,1,86.21461,
48,495.0,15173.0,A,1996,1,69.3266,
49,495.0,15173.0,A,1997,1,72.27907,
50,495.0,15173.0,A,1998,1,77.62298,
51,495.0,15173.0,A,1999,1,86.32989,
52,495.0,15173.0,A,2000,1,67.52779,
53,495.0,15173.0,A,2001,1,89.24291,
54,495.0,15173.0,A,2011,1,0.0,
55,495.0,15173.0,A,2012,1,-0.04728,
56,514.0,15173.0,A,1999,1,83.37836,
57,514.0,15173.0,A,2000,1,89.07702,
58,514.0,15173.0,A,2001,1,73.26217,
59,514.0,15173.0,A,2002,1,67.80181,
60,519.0,15173.0,A,1999,1,59.01176,
61,519.0,15173.0,A,2000,1,106.85449,
62,519.0,15173.0,A,2001,1,122.69401,
63,519.0,15173.0,A,2002,1,108.69738,
64,506.0,15173.0,A,1999,1,114.62612,
65,506.0,15173.0,A,2000,1,82.3896,
66,506.0,15173.0,A,2001,1,79.92214,
67,506.0,15173.0,A,2002,1,58.9132,
68,506.0,15173.0,A,2003,1,53.98478,
69,506.0,15173.0,A,2004,1,48.11737,
70,506.0,15173.0,A,2005,1,56.67609,
71,506.0,15173.0,A,2006,1,73.19603,
72,506.0,15173.0,A,2007,1,69.46814,
73,506.0,15173.0,A,2008,1,66.72229,
74,506.0,15173.0,A,2009,1,97.9472,
75,506.0,15173.0,A,2010,1,96.81335,
76,506.0,15173.0,A,2011,1,98.16379,
77,506.0,15173.0,A,2012,1,92.75147,
78,506.0,15173.0,A,2013,1,102.03214,
79,506.0,15173.0,A,2014,1,96.90669,
80,506.0,15173.0,A,2015,1,98.52072,
81,506.0,15173.0,A,2016,1,129.82182,
82,506.0,15173.0,A,2017,1,174.54388,
83,506.0,15173.0,A,2018,1,163.44771,
84,506.0,15173.0,A,2019,1,120.16914,
85,506.0,15173.0,A,2020,1,98.77229,
86,506.0,15173.0,A,2021,1,96.80951,
87,506.0,15173.0,A,2022,1,96.24625,
88,1343.0,15173.0,A,1989,1,109.61538,
89,1343.0,15173.0,A,1990,1,95.83097,
90,1343.0,15173.0,A,1991,1,91.60011,
91,1343.0,15173.0,A,1992,1,96.51003,
92,1343.0,15173.0,A,1993,1,97.96551,
93,1343.0,15173.0,A,1994,1,99.41061,
94,1343.0,15173.0,A,1995,1,100.34011,
95,1343.0,15173.0,A,1996,1,98.9115,
96,1351.0,15173.0,A,1989,1,18.1492,
97,1351.0,15173.0,A,1990,1,16.27525,
98,1351.0,15173.0,A,1991,1,12.31503,
99,1351.0,15173.0,A,1992,1,101.61269,
100,1351.0,15173.0,A,1993,1,103.26822,
101,1351.0,15173.0,A,1994,1,100.47902,
102,1351.0,15173.0,A,1995,1,102.43414,
103,1351.0,15173.0,A,1996,1,102.65272,
104,1351.0,15173.0,A,1997,1,106.54993,
105,1351.0,15173.0,A,1998,1,109.2594,
106,1351.0,15173.0,A,1999,1,112.12485,
107,1351.0,15173.0,A,2000,1,110.58178,
108,1355.0,15173.0,A,1993,1,79.2033,
109,1355.0,15173.0,A,1994,1,101.64956,
110,1355.0,15173.0,A,1995,1,102.02107,
111,1355.0,15173.0,A,1996,1,102.52205,
112,1355.0,15173.0,A,1997,1,102.45259,
113,1355.0,15173.0,A,1998,1,137.84865,
114,1359.0,15173.0,A,1997,1,97.29885,
115,1359.0,15173.0,A,1998,1,100.65063,
116,1374.0,15173.0,A,1987,1,0.0,
117,1374.0,15173.0,A,1988,1,0.0,
118,1374.0,15173.0,A,1989,1,0.0,
119,1374.0,15173.0,A,1990,1,0.0,
120,1374.0,15173.0,A,1991,1,0.0,
121,1374.0,15173.0,A,1992,1,0.0,
122,1374.0,15173.0,A,1993,1,0.0,
123,1173.0,15173.0,A,2000,1,26.29465,
124,1173.0,15173.0,A,2001,1,22.5765,
125,1173.0,15173.0,A,2002,1,8.39648,
126,1173.0,15173.0,A,2003,1,9.90616,
127,1173.0,15173.0,A,2004,1,11.1618,
128,1173.0,15173.0,A,2005,1,11.17905,
129,1173.0,15173.0,A,2006,1,32.10261,
130,1382.0,15173.0,A,1988,1,72.88477,
131,1382.0,15173.0,A,1989,1,114.01333,
132,1382.0,15173.0,A,1990,1,128.63384,
133,1382.0,15173.0,A,1991,1,133.05939,
134,1382.0,15173.0,A,1992,1,3.09384,
135,1382.0,15173.0,A,1993,1,10.03093,
136,1382.0,15173.0,A,1994,1,52.30547,
137,1382.0,15173.0,A,1995,1,34.54432,
138,1382.0,15173.0,A,1996,1,77.43894,
139,1382.0,15173.0,A,1997,1,98.80539,
140,1382.0,15173.0,A,1999,1,23.65205,
141,1386.0,15173.0,A,1990,1,27.58056,
142,1386.0,15173.0,A,1991,1,77.73449,
143,1386.0,15173.0,A,1992,1,73.41215,
144,1386.0,15173.0,A,1993,1,68.6176,
145,1386.0,15173.0,A,1994,1,57.13227,
146,1386.0,15173.0,A,1995,1,54.68762,
147,1386.0,15173.0,A,1996,1,54.4392,
148,1386.0,15173.0,A,1997,1,73.85283,
149,1386.0,15173.0,A,1998,1,73.32014,
150,1386.0,15173.0,A,1999,1,48.74959,
151,1395.0,15173.0,A,1989,1,161.84876,
152,1395.0,15173.0,A,1990,1,53.44598,
153,1395.0,15173.0,A,1991,1,71.14187,
154,1395.0,15173.0,A,1992,1,110.82417,
155,1395.0,15173.0,A,1993,1,127.5855,
156,1395.0,15173.0,A,1994,1,198.89649,
