,code,item,freq,year_,seq,value_,date_
0,4692.0,18607.0,A,2017,1,3.9,2017-10-31
1,4692.0,18607.0,A,2018,1,4.2,2018-10-31
2,4692.0,18607.0,A,2019,1,4.0,2019-10-31
3,4692.0,18607.0,A,2020,1,4.5,2020-10-31
4,4692.0,18607.0,A,2021,1,4.8,2021-10-31
5,4692.0,18607.0,A,2022,1,4.9,2022-10-31
6,4692.0,18607.0,A,2023,1,4.4,2023-10-31
7,4690.0,18607.0,A,2015,1,4.3,2015-10-31
8,4690.0,18607.0,A,2016,1,4.4,2016-10-31
9,4690.0,18607.0,A,2017,1,4.4,2017-10-31
10,4690.0,18607.0,A,2018,1,4.4,2018-10-31
11,4690.0,18607.0,A,2019,1,4.3,2019-10-31
12,4690.0,18607.0,A,2020,1,4.8,2020-10-31
13,4690.0,18607.0,A,2021,1,4.9,2021-10-31
14,4690.0,18607.0,A,2022,1,4.4,2022-10-31
15,4690.0,18607.0,A,2023,1,4.3,2023-10-31
16,4799.0,18607.0,A,2018,1,4.5,2018-10-31
17,4799.0,18607.0,A,2019,1,4.2,2019-10-31
18,4799.0,18607.0,A,2020,1,4.7,2020-10-31
19,4799.0,18607.0,A,2021,1,4.8,2021-10-31
20,4799.0,18607.0,A,2022,1,4.2,2022-10-31
21,4799.0,18607.0,A,2023,1,4.2,2023-10-31
22,6220.0,18607.0,A,2016,1,7.0,2016-12-31
23,6220.0,18607.0,A,2017,1,6.9,2017-12-31
24,6220.0,18607.0,A,2018,1,6.8,2018-12-31
25,6220.0,18607.0,A,2019,1,6.5,2019-12-31
26,6220.0,18607.0,A,2020,1,6.1,2020-12-31
27,6220.0,18607.0,A,2021,1,6.2,2021-12-31
28,6220.0,18607.0,A,2022,1,6.1,2022-12-31
29,10191.0,18607.0,A,2017,1,11.68,2017-12-31
30,10914.0,18607.0,A,2020,1,5.5,2020-12-31
31,10914.0,18607.0,A,2021,1,5.2,2021-12-31
32,10914.0,18607.0,A,2022,1,5.8,2022-12-31
33,11075.0,18607.0,A,2017,1,8.45,2017-12-31
34,11075.0,18607.0,A,2018,1,11.68,2018-12-31
35,11075.0,18607.0,A,2019,1,12.69,2019-12-31
36,11075.0,18607.0,A,2020,1,13.63,2020-12-31
37,11280.0,18607.0,A,2017,1,8.85,2017-12-31
38,11280.0,18607.0,A,2018,1,10.03,2018-12-31
39,11280.0,18607.0,A,2019,1,9.9,2019-12-31
40,11280.0,18607.0,A,2020,1,10.38,2020-12-31
41,11280.0,18607.0,A,2021,1,12.01,2021-12-31
42,11280.0,18607.0,A,2022,1,11.41,2022-12-31
43,12730.0,18607.0,A,2016,1,9.52,2016-06-30
44,12730.0,18607.0,A,2018,1,8.8,2018-06-30
45,12730.0,18607.0,A,2019,1,8.4,2019-06-30
46,12730.0,18607.0,A,2020,1,9.7,2020-06-30
47,12730.0,18607.0,A,2021,1,9.1,2021-06-30
48,12730.0,18607.0,A,2022,1,8.4,2022-06-30
49,12730.0,18607.0,A,2023,1,8.4,2023-06-30
50,16723.0,18607.0,A,2018,1,17.26,2018-12-31
51,16723.0,18607.0,A,2019,1,17.34,2019-12-31
52,16723.0,18607.0,A,2020,1,18.98,2020-12-31
53,16723.0,18607.0,A,2021,1,17.78,2021-12-31
54,16723.0,18607.0,A,2022,1,18.46,2022-12-31
55,18857.0,18607.0,A,2017,1,4.9,2017-12-31
56,18857.0,18607.0,A,2018,1,5.1,2018-12-31
57,19606.0,18607.0,A,2017,1,5.24,2017-12-31
58,19606.0,18607.0,A,2018,1,4.85,2018-12-31
59,19606.0,18607.0,A,2019,1,5.8,2019-12-31
60,19606.0,18607.0,A,2020,1,5.95,2020-12-31
61,19606.0,18607.0,A,2021,1,5.44,2021-12-31
62,19606.0,18607.0,A,2022,1,4.5,2022-12-31
63,19597.0,18607.0,A,2017,1,4.106,2017-12-31
64,19597.0,18607.0,A,2018,1,4.091,2018-12-31
65,19597.0,18607.0,A,2019,1,3.999,2019-12-31
66,19597.0,18607.0,A,2020,1,3.993,2020-12-31
67,19597.0,18607.0,A,2021,1,3.73,2021-12-31
68,19597.0,18607.0,A,2022,1,3.723,2022-12-31
69,21437.0,18607.0,A,2014,1,6.2,2014-03-31
