,code,item,freq,year_,seq,value_,date_
0,1814.0,18609.0,A,2019,1,160.1,2019-12-31
1,1814.0,18609.0,A,2020,1,216.3,2020-12-31
2,1814.0,18609.0,A,2021,1,190.7,2021-12-31
3,1814.0,18609.0,A,2022,1,201.1,2022-12-31
4,1725.0,18609.0,A,2017,1,122.0,2017-06-30
5,1725.0,18609.0,A,2018,1,127.1,2018-06-30
6,1725.0,18609.0,A,2019,1,128.1,2019-06-30
7,1725.0,18609.0,A,2020,1,134.1,2020-06-30
8,1725.0,18609.0,A,2021,1,142.0,2021-06-30
9,1725.0,18609.0,A,2022,1,142.2,2022-06-30
10,1725.0,18609.0,A,2023,1,136.6,2023-06-30
11,1833.0,18609.0,A,2017,1,133.4,2017-12-31
12,1833.0,18609.0,A,2018,1,137.7,2018-12-31
13,1833.0,18609.0,A,2019,1,151.8,2019-12-31
14,1833.0,18609.0,A,2020,1,158.1,2020-12-31
15,1833.0,18609.0,A,2021,1,208.9,2021-12-31
16,1833.0,18609.0,A,2022,1,190.4,2022-12-31
17,3460.0,18609.0,A,2016,1,212.8,2016-12-31
18,3460.0,18609.0,A,2017,1,190.2,2017-12-31
19,3460.0,18609.0,A,2018,1,103.1,2018-12-31
20,3460.0,18609.0,A,2019,1,103.2,2019-12-31
21,3460.0,18609.0,A,2020,1,140.2,2020-12-31
22,3460.0,18609.0,A,2021,1,94.1,2021-12-31
23,3460.0,18609.0,A,2022,1,107.5,2022-12-31
24,4813.0,18609.0,A,2015,1,119.0,2015-10-31
25,4813.0,18609.0,A,2016,1,124.0,2016-10-31
26,4813.0,18609.0,A,2017,1,120.0,2017-10-31
27,4813.0,18609.0,A,2018,1,128.0,2018-10-31
28,4813.0,18609.0,A,2019,1,125.0,2019-10-31
29,4813.0,18609.0,A,2020,1,145.0,2020-10-31
30,4813.0,18609.0,A,2021,1,127.0,2021-10-31
31,4813.0,18609.0,A,2022,1,129.0,2022-10-31
32,4813.0,18609.0,A,2023,1,135.0,2023-10-31
33,4689.0,18609.0,A,2017,1,132.0,2017-10-31
34,4689.0,18609.0,A,2018,1,147.0,2018-10-31
35,4689.0,18609.0,A,2019,1,146.0,2019-10-31
36,4689.0,18609.0,A,2020,1,161.0,2020-10-31
37,4689.0,18609.0,A,2021,1,154.0,2021-10-31
38,5901.0,18609.0,A,2021,1,148.0,2021-12-31
39,5901.0,18609.0,A,2022,1,160.0,2022-12-31
