,code,item,freq,year_,seq,value_,date_
0,486.0,15156.0,A,1998,1,1.48178,
1,486.0,15156.0,A,1999,1,1.37331,
2,486.0,15156.0,A,2000,1,1.64997,
3,486.0,15156.0,A,2001,1,2.26477,
4,486.0,15156.0,A,2002,1,4.90568,
5,486.0,15156.0,A,2003,1,3.0112,
6,486.0,15156.0,A,2004,1,1.39561,
7,486.0,15156.0,A,2005,1,0.9405,
8,486.0,15156.0,A,2006,1,0.92995,
9,486.0,15156.0,A,2007,1,0.97256,
10,486.0,15156.0,A,2008,1,1.09676,
11,486.0,15156.0,A,2009,1,1.36631,
12,486.0,15156.0,A,2010,1,1.0917,
13,486.0,15156.0,A,2011,1,0.88322,
14,486.0,15156.0,A,2012,1,1.04304,
15,486.0,15156.0,A,2013,1,1.12632,
16,486.0,15156.0,A,2014,1,1.22508,
17,486.0,15156.0,A,2017,1,1.35085,
18,488.0,15156.0,A,2001,1,3.76748,
19,488.0,15156.0,A,2002,1,6.28845,
20,488.0,15156.0,A,2003,1,5.14231,
21,488.0,15156.0,A,2004,1,2.67486,
22,488.0,15156.0,A,2005,1,1.6692,
23,488.0,15156.0,A,2006,1,1.38377,
24,488.0,15156.0,A,2007,1,1.87749,
25,488.0,15156.0,A,2008,1,2.12971,
26,488.0,15156.0,A,2009,1,2.92166,
27,488.0,15156.0,A,2010,1,2.90823,
28,488.0,15156.0,A,2011,1,2.50806,
29,488.0,15156.0,A,2012,1,2.72928,
30,488.0,15156.0,A,2013,1,2.57905,
31,488.0,15156.0,A,2014,1,2.44886,
32,488.0,15156.0,A,2015,1,2.21218,
33,488.0,15156.0,A,2016,1,1.94879,
34,488.0,15156.0,A,2017,1,1.96256,
35,495.0,15156.0,A,1998,1,2.78575,
36,495.0,15156.0,A,1999,1,2.48087,
37,495.0,15156.0,A,2000,1,3.16826,
38,495.0,15156.0,A,2001,1,3.7563,
39,495.0,15156.0,A,2002,1,35.06289,
40,495.0,15156.0,A,2011,1,0.0,
41,495.0,15156.0,A,2012,1,0.0,
42,514.0,15156.0,A,1999,1,3.86852,
43,514.0,15156.0,A,2000,1,2.56384,
44,514.0,15156.0,A,2001,1,2.93135,
45,514.0,15156.0,A,2002,1,3.09907,
46,506.0,15156.0,A,1999,1,7.98487,
47,506.0,15156.0,A,2000,1,10.79908,
48,506.0,15156.0,A,2001,1,7.84473,
49,506.0,15156.0,A,2002,1,7.02231,
50,506.0,15156.0,A,2003,1,5.22002,
51,506.0,15156.0,A,2004,1,3.14757,
52,506.0,15156.0,A,2005,1,2.11677,
53,506.0,15156.0,A,2006,1,1.47705,
54,506.0,15156.0,A,2007,1,1.54298,
55,506.0,15156.0,A,2008,1,1.95587,
56,506.0,15156.0,A,2009,1,1.62475,
57,506.0,15156.0,A,2010,1,1.89719,
58,506.0,15156.0,A,2011,1,1.75423,
59,506.0,15156.0,A,2012,1,1.70649,
60,506.0,15156.0,A,2013,1,1.53793,
61,506.0,15156.0,A,2014,1,1.31683,
62,506.0,15156.0,A,2015,1,1.18605,
63,506.0,15156.0,A,2016,1,1.40476,
64,506.0,15156.0,A,2017,1,1.91309,
65,1343.0,15156.0,A,1990,1,0.15751,
66,1343.0,15156.0,A,1991,1,0.34391,
67,1343.0,15156.0,A,1992,1,0.41098,
68,1343.0,15156.0,A,1993,1,0.48851,
69,1343.0,15156.0,A,1994,1,0.735,
70,1343.0,15156.0,A,1995,1,0.85946,
71,1343.0,15156.0,A,1996,1,0.78557,
72,1355.0,15156.0,A,1993,1,0.0,
73,1355.0,15156.0,A,1994,1,0.0,
74,1355.0,15156.0,A,1995,1,0.0,
75,1355.0,15156.0,A,1996,1,0.0,
76,1355.0,15156.0,A,1997,1,0.0,
77,1355.0,15156.0,A,1998,1,0.0,
78,1359.0,15156.0,A,1995,1,0.0,
79,1359.0,15156.0,A,1996,1,0.0,
80,1359.0,15156.0,A,1997,1,0.0,
81,1359.0,15156.0,A,1998,1,0.0,
82,1374.0,15156.0,A,1987,1,0.0,
83,1374.0,15156.0,A,1988,1,0.0,
84,1374.0,15156.0,A,1989,1,0.0,
85,1374.0,15156.0,A,1990,1,0.0,
86,1374.0,15156.0,A,1991,1,0.0,
87,1374.0,15156.0,A,1992,1,0.0,
88,1374.0,15156.0,A,1993,1,0.0,
89,1382.0,15156.0,A,1990,1,0.48028,
90,1382.0,15156.0,A,1991,1,4.9968,
91,1386.0,15156.0,A,1990,1,0.0,
92,1386.0,15156.0,A,1991,1,0.0,
93,1386.0,15156.0,A,1992,1,0.0,
94,1386.0,15156.0,A,1993,1,0.0,
95,1386.0,15156.0,A,1994,1,0.0,
96,1386.0,15156.0,A,1995,1,0.0,
97,1386.0,15156.0,A,1996,1,0.0,
98,1386.0,15156.0,A,1997,1,0.0,
99,1386.0,15156.0,A,1998,1,0.0,
100,1386.0,15156.0,A,1999,1,0.0,
101,1395.0,15156.0,A,1989,1,0.08476,
102,1395.0,15156.0,A,1990,1,0.27269,
103,1395.0,15156.0,A,1991,1,0.27845,
104,1395.0,15156.0,A,1992,1,0.24901,
105,1395.0,15156.0,A,1993,1,0.19535,
106,1395.0,15156.0,A,1994,1,0.33843,
107,1395.0,15156.0,A,1995,1,0.33555,
108,1395.0,15156.0,A,1996,1,0.37035,
109,1395.0,15156.0,A,1997,1,0.48583,
110,1395.0,15156.0,A,1998,1,0.62441,
111,1395.0,15156.0,A,1999,1,0.5609,
112,1395.0,15156.0,A,2000,1,0.42139,
113,1395.0,15156.0,A,2001,1,0.42303,
114,1395.0,15156.0,A,2002,1,0.35139,
115,1395.0,15156.0,A,2003,1,0.31612,
116,1395.0,15156.0,A,2004,1,0.32924,
117,1395.0,15156.0,A,2005,1,0.31986,
118,1395.0,15156.0,A,2006,1,0.21734,
119,1395.0,15156.0,A,2007,1,0.14283,
120,1395.0,15156.0,A,2008,1,0.16354,
121,1395.0,15156.0,A,2009,1,0.78084,
122,1395.0,15156.0,A,2010,1,0.7056,
123,1395.0,15156.0,A,2011,1,0.59157,
124,2295.0,15156.0,A,1986,1,0.0,
125,1578.0,15156.0,A,1995,1,0.0,
126,1578.0,15156.0,A,1996,1,0.0,
127,1578.0,15156.0,A,1997,1,0.0,
128,1578.0,15156.0,A,1998,1,0.0,
129,1578.0,15156.0,A,1999,1,0.0,
130,1344.0,15156.0,A,1990,1,0.60687,
131,1344.0,15156.0,A,1991,1,0.7935,
132,1344.0,15156.0,A,1992,1,0.68593,
133,1344.0,15156.0,A,1993,1,0.60122,
134,1344.0,15156.0,A,1994,1,0.59143,
135,1344.0,15156.0,A,1995,1,0.58694,
136,1344.0,15156.0,A,1996,1,0.59228,
137,1344.0,15156.0,A,1997,1,0.62455,
138,1344.0,15156.0,A,1998,1,0.62312,
139,1344.0,15156.0,A,1999,1,0.68961,
