,code,item,freq,year_,seq,value_,date_
0,486.0,15073.0,A,1998,1,2.93484,
1,486.0,15073.0,A,1999,1,2.81848,
2,486.0,15073.0,A,2000,1,3.66656,
3,486.0,15073.0,A,2001,1,3.64181,
4,486.0,15073.0,A,2002,1,11.92975,
5,486.0,15073.0,A,2003,1,10.41452,
6,486.0,15073.0,A,2004,1,3.68846,
7,486.0,15073.0,A,2005,1,1.76127,
8,486.0,15073.0,A,2006,1,1.67258,
9,486.0,15073.0,A,2007,1,1.59172,
10,486.0,15073.0,A,2008,1,1.89251,
11,486.0,15073.0,A,2009,1,2.87042,
12,486.0,15073.0,A,2010,1,1.98175,
13,486.0,15073.0,A,2011,1,1.56355,
14,486.0,15073.0,A,2012,1,1.67308,
15,486.0,15073.0,A,2013,1,1.75491,
16,486.0,15073.0,A,2014,1,2.10531,
17,486.0,15073.0,A,2015,1,1.655,
18,486.0,15073.0,A,2016,1,1.54918,
19,486.0,15073.0,A,2017,1,2.65956,
20,488.0,15073.0,A,2000,1,3.00333,
21,488.0,15073.0,A,2001,1,5.46064,
22,488.0,15073.0,A,2002,1,13.07163,
23,488.0,15073.0,A,2003,1,9.83852,
24,488.0,15073.0,A,2004,1,7.03009,
25,488.0,15073.0,A,2005,1,3.90298,
26,488.0,15073.0,A,2006,1,3.10582,
27,488.0,15073.0,A,2007,1,3.59581,
28,488.0,15073.0,A,2008,1,4.33464,
29,488.0,15073.0,A,2009,1,5.6557,
30,488.0,15073.0,A,2010,1,4.6544,
31,488.0,15073.0,A,2011,1,4.0297,
32,488.0,15073.0,A,2012,1,3.9391,
33,488.0,15073.0,A,2013,1,3.72862,
34,488.0,15073.0,A,2014,1,3.79491,
35,488.0,15073.0,A,2015,1,3.52954,
36,488.0,15073.0,A,2016,1,3.36146,
37,488.0,15073.0,A,2017,1,3.30935,
38,495.0,15073.0,A,1998,1,4.46817,
39,495.0,15073.0,A,1999,1,4.41792,
40,495.0,15073.0,A,2000,1,7.25028,
41,495.0,15073.0,A,2001,1,5.34831,
42,495.0,15073.0,A,2002,1,140.97535,
43,514.0,15073.0,A,1999,1,8.1331,
44,514.0,15073.0,A,2000,1,6.04508,
45,514.0,15073.0,A,2001,1,6.69163,
46,514.0,15073.0,A,2002,1,11.88422,
47,506.0,15073.0,A,1999,1,9.03434,
48,506.0,15073.0,A,2000,1,16.80441,
49,506.0,15073.0,A,2001,1,11.42476,
50,506.0,15073.0,A,2002,1,16.60631,
51,506.0,15073.0,A,2003,1,14.89062,
52,506.0,15073.0,A,2004,1,9.47714,
53,506.0,15073.0,A,2005,1,7.32016,
54,506.0,15073.0,A,2006,1,4.41543,
55,506.0,15073.0,A,2007,1,4.01468,
56,506.0,15073.0,A,2008,1,4.48498,
57,506.0,15073.0,A,2009,1,4.59634,
58,506.0,15073.0,A,2010,1,3.79944,
59,506.0,15073.0,A,2011,1,2.94942,
60,506.0,15073.0,A,2012,1,2.83412,
61,506.0,15073.0,A,2013,1,2.37895,
62,506.0,15073.0,A,2014,1,2.36949,
63,506.0,15073.0,A,2015,1,2.20832,
64,506.0,15073.0,A,2016,1,2.49926,
65,506.0,15073.0,A,2017,1,3.3357,
66,1343.0,15073.0,A,1990,1,0.20619,
67,1343.0,15073.0,A,1991,1,0.444,
68,1343.0,15073.0,A,1992,1,0.51103,
69,1343.0,15073.0,A,1993,1,0.5984,
70,1343.0,15073.0,A,1994,1,0.8566,
71,1343.0,15073.0,A,1995,1,1.0064,
72,1343.0,15073.0,A,1996,1,0.92156,
73,1382.0,15073.0,A,1990,1,0.91607,
74,1382.0,15073.0,A,1991,1,7.6977,
75,1386.0,15073.0,A,1990,1,0.0,
76,1386.0,15073.0,A,1991,1,0.0,
77,1386.0,15073.0,A,1992,1,0.0,
78,1386.0,15073.0,A,1993,1,0.0,
79,1386.0,15073.0,A,1994,1,0.0,
80,1386.0,15073.0,A,1995,1,0.0,
81,1386.0,15073.0,A,1996,1,0.0,
82,1395.0,15073.0,A,1989,1,0.10504,
83,1395.0,15073.0,A,1990,1,0.31736,
84,1395.0,15073.0,A,1991,1,0.33858,
85,1395.0,15073.0,A,1992,1,0.30708,
86,1395.0,15073.0,A,1993,1,0.25259,
87,1395.0,15073.0,A,1994,1,0.40889,
88,1395.0,15073.0,A,1995,1,0.40466,
89,1395.0,15073.0,A,1996,1,0.43679,
90,1395.0,15073.0,A,1997,1,0.68211,
91,1395.0,15073.0,A,1998,1,0.8422,
92,1395.0,15073.0,A,1999,1,0.71052,
93,1395.0,15073.0,A,2000,1,0.63197,
94,1395.0,15073.0,A,2001,1,0.63529,
95,1395.0,15073.0,A,2002,1,0.57017,
96,1395.0,15073.0,A,2003,1,0.52597,
97,1395.0,15073.0,A,2004,1,0.5194,
98,1395.0,15073.0,A,2005,1,0.49895,
99,1395.0,15073.0,A,2006,1,0.31189,
100,1395.0,15073.0,A,2007,1,0.2546,
101,1395.0,15073.0,A,2008,1,0.26784,
102,1395.0,15073.0,A,2009,1,1.31972,
103,1395.0,15073.0,A,2010,1,1.23538,
104,1395.0,15073.0,A,2011,1,1.14627,
105,1795.0,15073.0,A,1981,1,1.1954,
106,1795.0,15073.0,A,1982,1,1.15805,
107,1795.0,15073.0,A,1983,1,1.13688,
108,1795.0,15073.0,A,1984,1,1.09047,
109,1795.0,15073.0,A,1985,1,1.13741,
110,1795.0,15073.0,A,1986,1,1.16021,
111,1795.0,15073.0,A,1987,1,1.31413,
112,1795.0,15073.0,A,1988,1,1.41969,
113,1795.0,15073.0,A,1989,1,1.54426,
114,2507.0,15073.0,A,1994,1,4.08395,
115,2507.0,15073.0,A,2003,1,8.18252,
116,2507.0,15073.0,A,2004,1,6.44114,
117,2507.0,15073.0,A,2005,1,6.77354,
118,2507.0,15073.0,A,2006,1,8.83046,
119,2507.0,15073.0,A,2007,1,6.8592,
120,2507.0,15073.0,A,2008,1,8.28754,
121,2507.0,15073.0,A,2009,1,9.77913,
122,2379.0,15073.0,A,2000,1,2.36912,
123,2379.0,15073.0,A,2001,1,2.57899,
124,2379.0,15073.0,A,2002,1,2.31321,
125,2379.0,15073.0,A,2003,1,2.84988,
126,2379.0,15073.0,A,2004,1,2.32581,
127,2379.0,15073.0,A,2005,1,2.24595,
128,2379.0,15073.0,A,2006,1,1.59207,
129,2379.0,15073.0,A,2007,1,1.49185,
130,2379.0,15073.0,A,2008,1,1.63308,
131,2379.0,15073.0,A,2009,1,2.65993,
132,2531.0,15073.0,A,2000,1,18.04563,
133,2531.0,15073.0,A,2001,1,22.61303,
134,2531.0,15073.0,A,2002,1,17.27236,
135,2296.0,15073.0,A,1991,1,0.0,
136,2296.0,15073.0,A,1992,1,0.0,
137,2296.0,15073.0,A,1993,1,0.0,
138,2296.0,15073.0,A,1994,1,0.0,
139,3361.0,15073.0,A,1987,1,1.91581,
140,3361.0,15073.0,A,1988,1,3.29799,
141,3361.0,15073.0,A,1989,1,2.54692,
142,3361.0,15073.0,A,1990,1,9.30965,
143,3361.0,15073.0,A,1991,1,5.15419,
144,3361.0,15073.0,A,1992,1,3.48923,
145,3361.0,15073.0,A,1993,1,2.73021,
146,3361.0,15073.0,A,1994,1,5.03912,
147,3361.0,15073.0,A,1995,1,7.46262,
148,3361.0,15073.0,A,1996,1,5.15437,
149,3361.0,15073.0,A,1997,1,4.07004,
