,code,item,freq,year_,seq,value_,date_
0,1395.0,18156.0,A,2004,1,21297000000.0,2004-06-30
1,1395.0,18156.0,A,2005,1,24439000000.0,2005-06-30
2,1395.0,18156.0,A,2006,1,34168000000.0,2006-06-30
3,1395.0,18156.0,A,2007,1,38755000000.0,2007-06-30
4,1395.0,18156.0,A,2008,1,51054000000.0,2008-06-30
5,1395.0,18156.0,A,2009,1,55474000000.0,2009-06-30
6,1395.0,18156.0,A,2010,1,52356000000.0,2010-06-30
7,1344.0,18156.0,A,2000,1,2278988000.0,2000-08-31
8,1344.0,18156.0,A,2001,1,2595437000.0,2001-08-31
9,1344.0,18156.0,A,2002,1,3248700000.0,2002-08-31
10,1344.0,18156.0,A,2003,1,4306500000.0,2003-08-31
11,1344.0,18156.0,A,2004,1,6774700000.0,2004-08-31
12,1344.0,18156.0,A,2005,1,7309400000.0,2005-08-31
13,1344.0,18156.0,A,2006,1,8106600000.0,2006-08-31
14,1344.0,18156.0,A,2007,1,9696800000.0,2007-08-31
15,1344.0,18156.0,A,2008,1,13813000000.0,2008-08-31
16,1344.0,18156.0,A,2009,1,16360100000.0,2009-08-31
17,1344.0,18156.0,A,2010,1,19001400000.0,2010-08-31
18,1344.0,18156.0,A,2011,1,20524600000.0,2011-08-31
19,1344.0,18156.0,A,2012,1,21098100000.0,2012-08-31
20,1344.0,18156.0,A,2013,1,21551700000.0,2013-08-31
21,1344.0,18156.0,A,2014,1,25031700000.0,2014-08-31
22,1344.0,18156.0,A,2015,1,26321000000.0,2015-08-31
23,1344.0,18156.0,A,2016,1,28054000000.0,2016-08-31
24,1344.0,18156.0,A,2017,1,28644000000.0,2017-08-31
25,1344.0,18156.0,A,2018,1,29669000000.0,2018-08-31
26,1344.0,18156.0,A,2019,1,30533000000.0,2019-08-31
27,1344.0,18156.0,A,2020,1,31576000000.0,2020-08-31
28,1344.0,18156.0,A,2021,1,44229000000.0,2021-08-31
29,1344.0,18156.0,A,2022,1,45669000000.0,2022-08-31
30,1344.0,18156.0,A,2023,1,40680000000.0,2023-08-31
31,1920.0,18156.0,A,2003,1,65550000000.0,2003-12-31
32,1920.0,18156.0,A,2004,1,70887000000.0,2004-12-31
33,1920.0,18156.0,A,2005,1,75263000000.0,2005-12-31
34,1920.0,18156.0,A,2006,1,73136000000.0,2006-12-31
35,1920.0,18156.0,A,2007,1,110418000000.0,2007-12-31
36,1867.0,18156.0,A,2005,1,406928000.0,2005-12-31
37,1867.0,18156.0,A,2006,1,376284000.0,2006-12-31
38,1867.0,18156.0,A,2007,1,367170000.0,2007-12-31
39,1867.0,18156.0,A,2008,1,399309000.0,2008-12-31
40,1867.0,18156.0,A,2009,1,403677000.0,2009-12-31
41,1867.0,18156.0,A,2010,1,318141000.0,2010-12-31
42,1867.0,18156.0,A,2011,1,299486000.0,2011-12-31
43,1867.0,18156.0,A,2012,1,349187000.0,2012-12-31
44,3755.0,18156.0,A,2010,1,24570900000.0,2010-12-31
45,3755.0,18156.0,A,2011,1,28214547000.0,2011-12-31
46,3755.0,18156.0,A,2012,1,30603724000.0,2012-12-31
47,3755.0,18156.0,A,2013,1,35054492385.7868,2013-12-31
48,3755.0,18156.0,A,2014,1,36392687000.0,2014-12-31
49,3755.0,18156.0,A,2015,1,37111437000.0,2015-12-31
50,3755.0,18156.0,A,2016,1,38048564000.0,2016-12-31
51,3755.0,18156.0,A,2017,1,39615608000.0,2017-12-31
52,3755.0,18156.0,A,2018,1,47553157000.0,2018-12-31
53,3755.0,18156.0,A,2019,1,57311851000.0,2019-12-31
54,3755.0,18156.0,A,2020,1,66623721000.0,2020-12-31
55,3755.0,18156.0,A,2021,1,71799386000.0,2021-12-31
56,3755.0,18156.0,A,2022,1,80422033000.0,2022-12-31
57,5576.0,18156.0,A,2000,1,1732262000000.0,2000-12-31
58,5576.0,18156.0,A,2001,1,2201020000000.0,2001-12-31
59,5576.0,18156.0,A,2002,1,2309861000000.0,2002-12-31
60,5576.0,18156.0,A,2003,1,2656453000000.0,2003-12-31
61,5576.0,18156.0,A,2004,1,2693503000000.0,2004-12-31
62,5576.0,18156.0,A,2005,1,2793189000000.0,2005-12-31
63,5576.0,18156.0,A,2006,1,3469017000000.0,2006-12-31
64,5576.0,18156.0,A,2007,1,3754108000000.0,2007-12-31
65,5576.0,18156.0,A,2008,1,3966943000000.0,2008-12-31
66,5576.0,18156.0,A,2009,1,5163848000000.0,2009-12-31
67,5576.0,18156.0,A,2010,1,5887170000000.0,2010-12-31
68,5576.0,18156.0,A,2011,1,6656034000000.0,2011-12-31
69,5576.0,18156.0,A,2012,1,7253230000000.0,2012-12-31
70,5576.0,18156.0,A,2013,1,9418726000000.0,2013-12-31
71,5576.0,18156.0,A,2014,1,9934105000000.0,2014-12-31
72,5576.0,18156.0,A,2015,1,10654081000000.0,2015-12-31
73,5576.0,18156.0,A,2016,1,11269592000000.0,2016-12-31
74,5576.0,18156.0,A,2017,1,12157771000000.0,2017-12-31
75,5576.0,18156.0,A,2018,1,12841526000000.0,2018-12-31
76,5576.0,18156.0,A,2019,1,14123915000000.0,2019-12-31
77,5576.0,18156.0,A,2020,1,15109085000000.0,2020-12-31
78,5576.0,18156.0,A,2021,1,16323713000000.0,2021-12-31
79,5576.0,18156.0,A,2022,1,16818275000000.0,2022-12-31
80,6103.0,18156.0,A,2002,1,10253101000.0,2002-12-31
81,6103.0,18156.0,A,2003,1,10213845000.0,2003-12-31
82,6103.0,18156.0,A,2004,1,11590650000.0,2004-12-31
83,6103.0,18156.0,A,2005,1,18691795000.0,2005-12-31
84,6103.0,18156.0,A,2006,1,23873588000.0,2006-12-31
85,6103.0,18156.0,A,2007,1,28562041000.0,2007-12-31
86,6103.0,18156.0,A,2008,1,27814789000.0,2008-12-31
87,6103.0,18156.0,A,2009,1,24610004000.0,2009-12-31
88,6127.0,18156.0,A,1999,1,1471140000.0,1999-12-31
89,6127.0,18156.0,A,2000,1,1699241000.0,2000-12-31
90,6127.0,18156.0,A,2001,1,1965963000.0,2001-12-31
91,6127.0,18156.0,A,2002,1,2098973000.0,2002-12-31
92,6127.0,18156.0,A,2003,1,2355076000.0,2003-12-31
93,6127.0,18156.0,A,2004,1,3064707000.0,2004-12-31
94,6127.0,18156.0,A,2005,1,3954053000.0,2005-12-31
95,6127.0,18156.0,A,2006,1,5354700000.0,2006-12-31
96,6127.0,18156.0,A,2007,1,6922317000.0,2007-12-31
97,6127.0,18156.0,A,2008,1,6053778000.0,2008-12-31
98,6127.0,18156.0,A,2009,1,5392687000.0,2009-12-31
99,6127.0,18156.0,A,2010,1,7835718000.0,2010-12-31
100,6006.0,18156.0,A,2003,1,637481000.0,2003-12-31
101,6006.0,18156.0,A,2004,1,816187000.0,2004-12-31
102,6006.0,18156.0,A,2005,1,1189914000.0,2005-12-31
103,6006.0,18156.0,A,2006,1,1704321000.0,2006-12-31
104,6006.0,18156.0,A,2007,1,1825556000.0,2007-12-31
105,6476.0,18156.0,A,2002,1,1154549000.0,2002-12-31
106,6476.0,18156.0,A,2003,1,1192568000.0,2003-12-31
107,6476.0,18156.0,A,2004,1,1477901000.0,2004-12-31
108,6476.0,18156.0,A,2005,1,2372949000.0,2005-12-31
109,6476.0,18156.0,A,2006,1,3023806000.0,2006-12-31
110,6476.0,18156.0,A,2007,1,3561247000.0,2007-12-31
111,6476.0,18156.0,A,2008,1,3268885000.0,2008-12-31
112,6476.0,18156.0,A,2009,1,2859980000.0,2009-12-31
